date,customerId,paymentPeriod,loanAmount,currencyType,evaluationChannel,interest_rate
12/09/2022,CUS52022903724,24,10000,USD,WEB PAGE,0.395
12/09/2022,CUS41333428524,24,67000,USD,AGENCY,0.395
12/09/2022,CUS30910915648,48,8000,USD,WEB PAGE,0.4
12/09/2022,CUS78525445936,36,9500,USD,WEB PAGE,0.209
12/09/2022,CUS55024264560,60,15000,USD,WEB PAGE,0.39
12/09/2022,CUS71211623724,24,24215.94,USD,AGENCY,0.395
12/09/2022,CUS23754037360,60,20000,USD,WEB PAGE,0.395
12/09/2022,CUS97575324512,12,10000,USD,WEB PAGE,0.39
12/09/2022,CUS80644042636,36,8200,USD,WEB PAGE,0.295
12/09/2022,CUS98061533424,24,32000,USD,WEB PAGE,0.235
12/09/2022,CUS29348685548,48,40000,USD,WEB PAGE,0.39
12/09/2022,CUS58370141936,36,1856.64,USD,AGENCY,0.339
12/09/2022,CUS69388897524,24,29400,USD,AGENCY,0.39
12/09/2022,CUS92163855236,36,25700,USD,WEB PAGE,0.265
12/09/2022,CUS24201810060,60,16200,USD,WEB PAGE,0.38
12/09/2022,CUS34274818112,12,21000,USD,WEB PAGE,0.39
12/09/2022,CUS34198552260,60,90600,USD,WEB PAGE,0.235
12/09/2022,CUS85722056436,36,4500,USD,WEB PAGE,0.315
12/09/2022,CUS84580440424,24,35000,USD,WEB PAGE,0.199
12/09/2022,CUS68409568836,36,5000,USD,WEB PAGE,0.27
12/09/2022,CUS94709585048,48,76000,USD,WEB PAGE,0.37
12/09/2022,CUS93196492812,12,60000,USD,AGENCY,0.85
12/09/2022,CUS18194340024,24,80000,USD,AGENCY,0.255
12/09/2022,CUS89089869448,48,17600,USD,WEB PAGE,0.255
12/09/2022,CUS87621179060,60,44100,USD,WEB PAGE,0.35
12/09/2022,CUS71881560336,36,70000,USD,WEB PAGE,0.35
12/09/2022,CUS47210404136,36,35100,USD,WEB PAGE,0.275
12/09/2022,CUS34974034548,48,50000,USD,AGENCY,0.395
12/09/2022,CUS72026093512,12,7000,USD,WEB PAGE,0.32
12/09/2022,CUS37623433760,60,30100,USD,AGENCY,0.35
12/09/2022,CUS42210170924,24,10000,USD,WEB PAGE,0.4
12/09/2022,CUS84107326636,36,29250,USD,WEB PAGE,0.199
12/09/2022,CUS55565111560,60,27500,USD,WEB PAGE,0.29
12/09/2022,CUS75291727048,48,23249,USD,WEB PAGE,0.169
12/09/2022,CUS22165777936,36,50000,USD,AGENCY,0.225
12/09/2022,CUS68712744936,36,70000,USD,CONTACT CENTER,0.225
12/09/2022,CUS33442953324,24,17460,USD,WEB PAGE,0.295
12/09/2022,CUS68889120848,48,16000,USD,WEB PAGE,0.265
12/09/2022,CUS40948177936,36,140000,USD,WEB PAGE,0.189
12/09/2022,CUS22808215948,48,80000,USD,AGENCY,0.12
12/09/2022,CUS97413102848,48,3590,USD,WEB PAGE,0.349
12/09/2022,CUS29344581724,24,20000,USD,WEB PAGE,0.295
12/09/2022,CUS12157406548,48,15000,USD,AGENCY,0.395
12/09/2022,CUS34194458748,48,35500,USD,WEB PAGE,0.24
12/09/2022,CUS45690940236,36,24300,USD,WEB PAGE,0.275
12/09/2022,CUS96217546924,24,10000,USD,WEB PAGE,0.35
12/09/2022,CUS37231369048,48,33200,USD,WEB PAGE,0.14
12/09/2022,CUS15679784324,24,12800,USD,WEB PAGE,0.145
12/09/2022,CUS62562820948,48,1394,USD,WEB PAGE,0.349
12/09/2022,CUS72052097524,24,15000,USD,WEB PAGE,0.29
12/09/2022,CUS45024486560,60,41000,USD,WEB PAGE,0.35
12/09/2022,CUS78104969524,24,47900,USD,WEB PAGE,0.209
12/09/2022,CUS91527319460,60,47826,USD,WEB PAGE,0.23
12/09/2022,CUS56287516436,36,15000,USD,WEB PAGE,0.36
12/09/2022,CUS62196633460,60,40000,USD,WEB PAGE,0.395
12/09/2022,CUS25983758436,36,30500,USD,WEB PAGE,0.175
12/09/2022,CUS19446609048,48,32200,USD,AGENCY,0.23
